count	q1	q2	q3	qd1	qd2	qd3	x	y	theta	qdd1	qdd2	qdd3	trq2	trq3	trq2_act	trq3_act	
1	-0.315614	1.8	-1.79998	-0.0321689	0	0	-0.0362968	0.516329	1.2552	-32.1689	0	0	-1.8611	0.616196	-3.77784	0.887792	
2	-0.316236	1.8	-1.79998	-0.0289612	0	0	-0.0359758	0.516352	1.25458	-14.4806	0	0	-1.88278	0.615278	-3.70228	0.94446	
3	-0.316443	1.8	-1.79998	-0.027892	0	0	-0.0358687	0.516359	1.25437	-9.29732	0	0	-1.89003	0.614969	-3.74006	0.831125	
4	-0.316236	1.8	-1.79998	-0.0265656	0	0	-0.0359758	0.516352	1.25458	-6.6414	0	0	-1.68646	0.627104	-3.79673	0.925571	
5	-0.316111	1.8	-1.79998	-0.0270327	0	0	-0.03604	0.516347	1.2547	-5.40655	0	0	-1.6679	0.628137	-2.98449	0.642233	
6	-0.316236	1.8	-1.79998	-0.0273553	0	0	-0.0359758	0.516352	1.25458	-4.55921	0	0	-1.75117	0.623206	-1.64336	0.491119	
7	-0.316295	1.80002	-1.79998	-0.0265166	0.0194746	0	-0.0359494	0.516351	1.25454	-3.78809	2.78209	0	-1.42991	0.641729	-2.11559	0.642233	
8	-0.316366	1.80007	-1.79999	-0.0268231	0.0482021	-0.00150469	-0.0359223	0.516347	1.25451	-3.35288	6.02526	-0.188087	-1.11766	0.649976	-1.96448	0.604454	
9	-0.316398	1.80013	-1.79999	-0.0262299	0.0690543	-0.00497777	-0.0359176	0.51634	1.25454	-2.91444	7.6727	-0.553085	-1.11349	0.64881	-1.83225	0.661122	
10	-0.316319	1.80019	-1.8	-0.0264971	0.079198	-0.00712718	-0.0359704	0.516328	1.25467	-2.64971	7.9198	-0.712718	-1.11003	0.648174	-1.68114	0.642233	
11	-0.316463	1.80028	-1.80001	-0.0265011	0.0890331	-0.00940633	-0.0359122	0.51632	1.25461	0.566781	8.90331	-0.940633	-1.11023	0.647674	-1.53003	0.661122	
12	-0.316442	1.80037	-1.80002	-0.0279952	0.0927572	-0.0124088	-0.0359389	0.516306	1.2547	0.0965971	9.27572	-1.24088	-1.1095	0.647414	-1.71892	0.6989	
13	-0.316422	1.80046	-1.80004	-0.0294893	0.0925873	-0.0148871	-0.0359652	0.516292	1.2548	-0.159738	9.25873	-1.48871	-1.10963	0.647332	-1.71892	0.566676	
14	-0.316422	1.80055	-1.80005	-0.0301208	0.0925666	-0.0171716	-0.0359805	0.516279	1.25487	-0.355518	9.25666	-1.71716	-1.10987	0.647126	-1.66225	0.604454	
15	-0.316566	1.80065	-1.80007	-0.0316234	0.0994098	-0.0176606	-0.0359229	0.51627	1.25481	-0.459065	9.94098	-1.76606	-1.11086	0.647185	-1.73781	0.6989	
16	-0.316614	1.80076	-1.80009	-0.0316167	0.114807	-0.0193719	-0.0359174	0.516255	1.25485	-0.426143	11.4807	-1.93719	-1.10813	0.646457	-1.71892	0.642233	
17	-0.316684	1.80088	-1.80011	-0.0323584	0.12642	-0.0192617	-0.0359034	0.516239	1.25488	-0.584171	10.6945	-1.92617	-1.10656	0.646188	-1.53003	0.604454	
18	-0.316733	1.80102	-1.80013	-0.0323517	0.136102	-0.0188281	-0.0359025	0.516221	1.25495	-0.552861	8.78999	-1.73234	-1.10491	0.645842	-1.54891	0.642233	
19	-0.316733	1.80117	-1.80015	-0.036296	0.153187	-0.0168568	-0.0359303	0.5162	1.25508	-1.00661	8.41325	-1.18791	-1.10131	0.646103	-1.45447	0.604454	
20	-0.316906	1.80135	-1.80016	-0.036296	0.18099	-0.0141111	-0.0358751	0.51618	1.25507	-0.979899	10.1792	-0.69839	-1.09723	0.645509	-1.26558	0.623344	
21	-0.316967	1.80156	-1.80017	-0.0398095	0.215517	-0.0118303	-0.0358855	0.516153	1.25522	-1.33084	12.6484	-0.242402	-1.0904	0.645175	-1.11446	0.642233	
22	-0.316967	1.80181	-1.80019	-0.0427964	0.252002	-0.0110351	-0.0359348	0.516118	1.25545	-1.48011	15.9244	0.137366	-1.08213	0.644434	-1.02002	0.604454	
23	-0.316967	1.80209	-1.80019	-0.0457832	0.287157	-0.00864732	-0.0359917	0.516079	1.25573	-1.62939	19.457	0.623981	-1.07397	0.643871	-0.925571	0.585565	
24	-0.317172	1.8024	-1.8002	-0.0512364	0.31683	-0.0063229	-0.0359489	0.516043	1.25582	-2.11156	22.4263	1.08487	-1.07087	0.644101	-1.02002	0.642233	
25	-0.317133	1.80273	-1.80021	-0.0539	0.336307	-0.00698231	-0.0360365	0.515996	1.25619	-2.22766	23.6897	1.06783	-1.06586	0.643538	-1.09557	0.661122	
26	-0.317133	1.80307	-1.80021	-0.0599938	0.347223	-0.00596444	-0.0361055	0.515949	1.25652	-2.83771	23.2416	1.34075	-1.06391	0.64408	-1.13335	0.642233	
27	-0.317232	1.80342	-1.80022	-0.0660875	0.35411	-0.00598042	-0.0361245	0.515905	1.25676	-3.37292	22.7691	1.32812	-1.06462	0.644722	-1.24669	0.680011	
28	-0.317163	1.80377	-1.80023	-0.0702537	0.361162	-0.00541423	-0.036232	0.515853	1.25717	-3.79021	22.506	1.34139	-1.0621	0.64489	-1.30335	0.585565	
29	-0.317163	1.80413	-1.80023	-0.0712172	0.373381	-0.00408105	-0.0363067	0.515803	1.25754	-3.49212	22.0194	1.27758	-1.05886	0.64444	-1.2278	0.661122	
30	-0.317263	1.80451	-1.80024	-0.0801905	0.389853	-0.00418065	-0.0363332	0.515754	1.25781	-4.38945	20.8864	0.993044	-1.05782	0.645288	-1.2278	0.642233	
31	-0.317162	1.80492	-1.80024	-0.0805124	0.410828	-0.00418225	-0.0364677	0.515694	1.25831	-4.07029	19.5312	0.76481	-1.05087	0.644175	-1.13335	0.661122	
