q1	q2	q3	qd1	qd2	qd3	qdd1	qdd2	qdd3	trq2_dyn	trq3_dyn	
-0.37115	1.74067	-1.80005	0.470518	-2.77077	0.00129963	10.7933	-74.0892	-0.309833	-31.8756	2.93614	
-0.370315	1.73777	-1.80005	0.48289	-2.8663	0.0012927	10.5469	-76.1427	-0.0585365	-31.799	2.9613	
-0.369638	1.73479	-1.80005	0.48289	-2.95821	0.00129377	8.44735	-77.6606	0.0753145	-31.7651	2.99508	
-0.369638	1.73172	-1.80005	0.503258	-3.03874	-0.000270046	9.00042	-78.0352	0.0168845	-31.8314	3.02116	
-0.369638	1.72857	-1.80005	0.520551	-3.1085	-0.00197554	9.20701	-77.4874	-0.161921	-31.8988	3.04706	
-0.367955	1.72537	-1.80005	0.526923	-3.17361	-0.00192068	9.42526	-76.7778	-0.156435	-31.6689	3.06344	
-0.367955	1.72208	-1.80006	0.547291	-3.24701	-0.0019079	11.043	-77.5347	-0.194465	-31.7349	3.08852	
-0.367955	1.71872	-1.80006	0.567658	-3.32889	3.88823e-05	12.5755	-79.3013	0.00388823	-31.8035	3.11483	
-0.367955	1.71526	-1.80005	0.588026	-3.41618	0.00287729	14.1296	-81.3695	0.244905	-31.8744	3.14209	
-0.367955	1.71172	-1.80005	0.610543	-3.50432	0.00431913	15.144	-82.4643	0.299074	-31.9445	3.16851	
-0.367486	1.7081	-1.80005	0.637361	-3.58478	0.00501475	16.6843	-81.401	0.371513	-31.9225	3.18725	
-0.367486	1.70439	-1.80004	0.659879	-3.66129	0.00500304	17.6988	-79.4987	0.371033	-31.9906	3.21145	
-0.367864	1.70062	-1.80004	0.694676	-3.73051	0.00499664	21.1785	-77.2295	0.370288	-32.1112	3.22878	
-0.365618	1.69678	-1.80003	0.694676	-3.79565	0.00656099	19.1418	-75.6916	0.683104	-31.7945	3.24889	
-0.36477	1.69287	-1.80002	0.70909	-3.86123	0.00826649	18.8539	-75.2729	1.0242	-31.7162	3.26975	
-0.364207	1.68889	-1.80002	0.723086	-3.92995	0.0070345	19.6162	-75.6336	0.895518	-31.6921	3.29419	
-0.361961	1.68484	-1.80001	0.74946	-3.99881	0.00699296	20.2169	-75.18	0.890086	-31.3555	3.29947	
-0.360278	1.68072	-1.80001	0.777006	-4.07105	0.00506482	20.9348	-74.2154	0.502594	-31.1227	3.30895	
-0.357596	1.67652	-1.80001	0.80338	-4.15703	0.00256783	21.5355	-74.0845	-0.0309461	-30.7267	3.3148	
-0.356748	1.67222	-1.80001	0.816404	-4.24965	0.000249806	20.5861	-74.5335	-0.406933	-30.6665	3.34401	
-0.357596	1.66782	-1.80001	0.824384	-4.34628	-0.000429836	18.7023	-76.1495	-0.544459	-30.903	3.38853	
-0.357596	1.66333	-1.80001	0.830663	-4.44072	-0.000410129	17.0784	-77.9428	-0.541316	-30.9957	3.42684	
-0.357596	1.65875	-1.80001	0.830663	-4.53422	-0.000404802	13.5987	-80.3717	-0.540145	-31.0953	3.46819	
-0.358159	1.65407	-1.80001	0.86663	-4.62248	-0.000405335	17.1954	-82.6828	-0.696633	-31.2479	3.48743	
-0.357161	1.64931	-1.80001	0.891933	-4.70992	-0.000912403	18.2842	-84.8693	-0.917889	-31.1443	3.50551	
-0.356725	1.64445	-1.80001	0.936437	-4.80134	0.000302004	21.3351	-87.1389	-0.67325	-31.1142	3.51365	
-0.35629	1.6395	-1.80001	0.954567	-4.90258	0.000331299	20.5107	-90.3774	-0.666166	-31.1178	3.53993	
-0.355291	1.63443	-1.80001	0.971525	-5.01362	0.000601344	19.4519	-94.2576	-0.446348	-31.0299	3.56659	
-0.35426	1.62925	-1.80001	0.989655	-5.11914	0.000862335	18.6274	-96.2115	-0.17055	-30.9342	3.59108	
-0.35251	1.62397	-1.8	1.01591	-5.21674	0.0020352	19.9508	-96.709	0.178539	-30.7084	3.60686	
-0.349633	1.61861	-1.8	1.03961	-5.29873	0.00201815	21.523	-95.2452	0.244799	-30.3024	3.61886	
-0.348785	1.61318	-1.8	1.08221	-5.37355	0.00200697	25.1542	-93.2832	0.24171	-30.2035	3.62211	
-0.346187	1.60766	-1.8	1.11521	-5.44685	0.00200856	28.4544	-91.2626	0.241337	-29.8383	3.62681	
-0.346187	1.60207	-1.8	1.14263	-5.52552	0.00200856	27.6003	-90.304	0.24139	-29.8921	3.64153	
-0.344556	1.59639	-1.79999	1.14263	-5.61607	0.00251563	25.07	-90.6147	0.342804	-29.7245	3.67221	
-0.343804	1.59061	-1.79999	1.16975	-5.71498	0.00290659	23.331	-91.3641	0.260458	-29.6628	3.68732	
-0.343052	1.58473	-1.79998	1.19686	-5.811	0.00486668	24.2295	-90.8422	0.453538	-29.5986	3.7004	
