q1	q2	q3	qd1	qd2	qd3	qdd1	qdd2	qdd3	trq2_dyn	trq3_dyn	
0.130517	-0.353611	-1.31326	6.57357	-21.4287	14.2799	13.6189	17.4407	245.842	6.45734	4.00507	
0.160196	-0.375366	-1.29929	6.57493	-21.4713	14.4713	12.8483	9.9527	238.57	6.11996	3.77859	
0.165069	-0.397164	-1.28513	6.57866	-21.5162	14.6587	11.0057	3.0675	232.093	6.10843	3.79093	
0.178146	-0.418973	-1.27074	6.58064	-21.5246	14.8964	8.98694	4.89193	233.919	6.01337	3.73651	
0.183055	-0.440818	-1.25609	6.57964	-21.5614	15.1644	6.63609	2.00707	239.461	6.01616	3.75235	
0.18635	-0.462744	-1.24119	6.58161	-21.6486	15.4367	4.95537	-11.3846	246.172	6.00985	3.76602	
0.199474	-0.484746	-1.22604	6.58161	-21.7191	15.6833	2.70396	-21.9704	249.105	5.89108	3.70386	
0.204383	-0.506766	-1.21072	6.58062	-21.7332	15.8635	1.84855	-22.1839	239.434	5.92329	3.7369	
0.212599	-0.528816	-1.1952	6.58161	-21.7668	16.0595	1.29146	-25.5617	230.099	5.90372	3.73661	
0.209304	-0.550953	-1.17948	6.58374	-21.8536	16.2829	1.22822	-39.4668	223.686	5.98837	3.80552	
0.209304	-0.573167	-1.16352	6.5791	-21.9273	16.5207	0.552831	-49.8633	224.076	6.04315	3.84977	
0.214225	-0.595409	-1.14734	6.56683	-21.9505	16.7556	-0.809507	-47.914	228.436	6.08195	3.87651	
0.219134	-0.617703	-1.13095	6.56584	-22.0016	16.972	-1.28233	-48.5436	231.324	6.1004	3.89492	
0.228914	-0.640082	-1.11438	6.55358	-22.0912	17.1615	-2.70607	-56.6622	226.513	6.04942	3.88102	
0.228914	-0.662516	-1.09759	6.55358	-22.1428	17.3837	-2.60663	-58.1432	221.93	6.12348	3.92706	
0.238694	-0.684948	-1.08057	6.54131	-22.1348	17.6229	-4.03036	-48.6182	218.628	6.15383	3.94217	
0.230478	-0.707392	-1.06332	6.54032	-22.1518	17.867	-4.1298	-43.2736	218.369	6.32393	4.02396	
0.233773	-0.729899	-1.04583	6.51964	-22.2156	18.1123	-6.09816	-48.2413	224.887	6.36645	4.04931	
0.225557	-0.752449	-1.0281	6.49709	-22.2535	18.3661	-8.45206	-48.6644	230.658	6.51193	4.1099	
0.238631	-0.774996	-1.01009	6.47566	-22.2487	18.6433	-10.8084	-39.5069	236.046	6.53465	4.12219	
0.238631	-0.797572	-0.991815	6.46175	-22.2795	18.9255	-11.7353	-35.2168	240.478	6.61943	4.15618	
0.23371	-0.820204	-0.973271	6.4541	-22.3369	19.2046	-11.2736	-38.6476	244.897	6.7081	4.18816	
0.246785	-0.842848	-0.954448	6.42728	-22.3433	19.4885	-13.8557	-34.1677	251.654	6.74326	4.20684	
0.237005	-0.865471	-0.93532	6.41964	-22.3182	19.8094	-13.394	-22.6995	264.791	6.89885	4.24793	
0.258005	-0.888112	-0.915913	6.38708	-22.3408	20.0959	-16.6498	-19.802	271.221	6.90877	4.26752	
0.248225	-0.910797	-0.896254	6.37943	-22.3883	20.3565	-16.1881	-25.3533	273.355	7.00852	4.29455	
0.269225	-0.933471	-0.876343	6.34687	-22.3709	20.6123	-19.3445	-21.9062	274.537	7.06979	4.32731	
0.269225	-0.956091	-0.856119	6.34687	-22.3198	20.9374	-17.2767	-10.4206	282.503	7.19773	4.35975	
0.290224	-0.978692	-0.835598	6.33586	-22.3024	21.2452	-16.123	-4.89438	287.906	7.27976	4.39464	
0.29815	-1.00129	-0.814853	6.3076	-22.2983	21.48	-16.8052	-4.96133	283.672	7.4	4.4329	
0.29815	-1.02381	-0.793898	6.3076	-22.2231	21.6918	-15.4142	5.63639	276.63	7.55809	4.47008	
0.30793	-1.04625	-0.772659	6.29475	-22.1339	21.9802	-15.9346	20.3062	277.566	7.73864	4.51771	
0.320423	-1.06865	-0.751129	6.25506	-22.104	22.2883	-17.2224	23.9248	279.982	7.91558	4.57231	
0.330203	-1.09103	-0.729396	6.24221	-22.097	22.5021	-17.7428	22.1158	269.268	8.0732	4.61267	
0.322278	-1.11338	-0.707499	6.24124	-22.0554	22.669	-14.5842	28.5422	257.315	8.18337	4.61832	
0.344552	-1.13572	-0.685369	6.1954	-22.0471	22.9062	-18.4026	34.1217	254.976	8.45952	4.6966	
0.344552	-1.15815	-0.662999	6.15881	-22.1353	23.163	-18.8059	23.5624	255.062	8.54161	4.71246	
0.366826	-1.18068	-0.640494	6.07965	-22.2457	23.3054	-26.7225	7.41438	236.809	8.84379	4.81436	
0.366826	-1.20325	-0.617897	6.00469	-22.2808	23.3934	-33.1173	2.16186	214.821	9.0491	4.85725	
0.371394	-1.22585	-0.595167	5.95455	-22.3074	23.5327	-35.3057	-0.916078	205.267	9.29101	4.90246	
0.393668	-1.24851	-0.572316	5.87538	-22.3631	23.6608	-43.2224	-14.0002	196.903	9.7944	5.05507	
0.393668	-1.2712	-0.549415	5.77401	-22.3906	23.7148	-52.0746	-25.676	173.451	10.0861	5.11279	
0.393668	-1.29386	-0.526425	5.74067	-22.3561	23.8027	-51.4387	-25.2064	151.436	10.375	5.13059	
0.410343	-1.31651	-0.503277	5.66669	-22.3412	23.9657	-57.552	-24.4171	146.362	11.017	5.29127	
0.427018	-1.33915	-0.480008	5.51504	-22.3414	24.1008	-72.6192	-28.602	143.182	11.8169	5.53314	
0.414525	-1.36174	-0.456724	5.38836	-22.2806	24.1156	-80.7044	-23.3521	120.939	11.9817	5.47232	
0.423274	-1.38418	-0.433401	5.27234	-22.1241	24.1507	-88.6477	1.11592	98.7783	12.7704	5.6265	
0.431004	-1.40646	-0.410019	5.27234	-21.9623	24.2169	-80.7311	28.331	91.1453	13.4882	5.70603	
0.423078	-1.42863	-0.386628	5.13779	-21.8565	24.2354	-86.6901	42.4265	84.1996	13.7698	5.652	
0.42726	-1.45069	-0.363275	4.98376	-21.752	24.1888	-97.0791	55.5463	65.6101	14.4831	5.76602	
0.431441	-1.47263	-0.339852	4.82972	-21.63	24.2573	-104.566	73.315	59.6464	15.2398	5.8733	
0.448116	-1.49449	-0.316339	4.71074	-21.5556	24.3591	-106.326	83.5071	64.4354	16.5485	6.18415	
0.455845	-1.5163	-0.292831	4.47876	-21.5123	24.3588	-126.191	84.3843	55.6095	17.5997	6.43253	
0.455845	-1.538	-0.269367	4.2796	-21.4052	24.303	-138.709	93.6027	33.7262	18.3025	6.50288	
0.455845	-1.55954	-0.245854	4.15809	-21.2419	24.3504	-135.696	109.951	24.9604	19.0073	6.51205	
0.47252	-1.58094	-0.222271	4.0446	-21.1041	24.4317	-134.376	117.654	31.6098	20.7733	6.92459	
0.47252	-1.60224	-0.1987	3.92309	-21.0085	24.42	-134.925	111.559	26.9216	21.4957	6.93533	
0.47252	-1.62343	-0.175085	3.63162	-20.8915	24.4557	-164.072	107.08	23.88	22.3482	7.03036	
0.489196	-1.64446	-0.151346	3.567	-20.7471	24.5827	-157.079	110.948	34.726	24.4517	7.49832	
0.492743	-1.66536	-0.127528	3.42957	-20.6139	24.6735	-155.419	113.806	48.4678	25.6283	7.6201	
0.492743	-1.68617	-0.103759	3.37676	-20.5262	24.6236	-145.295	110.377	36.635	26.3937	7.58078	
0.496291	-1.70686	-0.0799843	3.13325	-20.4117	24.6175	-157.75	114.39	25.8383	27.6465	7.76829	
0.492743	-1.72739	-0.0561724	3.15839	-20.2469	24.6543	-132.038	126.532	29.5459	28.0635	7.53411	
0.492743	-1.74777	-0.0323935	2.8706	-20.0985	24.6296	-140.9	130.671	32.6655	28.98	7.60152	
0.492743	-1.76805	-0.00869974	2.58281	-20.0042	24.5325	-157.528	123.772	18.2068	27.4298	6.89785	
0.500374	-1.78824	0.0149892	2.40597	-19.9131	24.5203	-163.863	119.091	8.8535	24.548	5.75433	
0.503922	-1.80831	0.038693	2.13288	-19.802	24.5405	-179.02	120.653	12.0554	12.0589	1.64	
0.503922	-1.82826	0.0623223	1.82873	-19.6751	24.4681	-180.289	121.642	1.23838	-4.23204	-3.51182	
0.503922	-1.84809	0.0858887	1.54094	-19.5669	24.3955	-202.605	118.016	-18.7144	-7.43948	-4.53436	
0.508174	-1.86783	0.109487	1.44873	-19.466	24.4269	-198.084	114.796	-24.6545	-6.53458	-4.37386	
0.515974	-1.88743	0.133114	1.27189	-19.3342	24.4621	-210.488	119.201	-16.1551	-5.53785	-4.1658	
0.520227	-1.90687	0.156649	1.28576	-19.1768	24.3714	-184.748	123.483	-24.6114	755.917	-100	
0.520227	-1.92617	0.180122	0.81427	-19.0346	24.3058	-234.412	121.238	-34.8415	1884.37	-100	
